category,split,object_name,filesize_bytes,source_url
Shoe,train,Timberland_Womens_Classic_Amherst_2Eye_Boat_Shoe,6909990,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Timberland_Womens_Classic_Amherst_2Eye_Boat_Shoe.zip
Shoe,train,Mens_RR_Moc_in_Navy_Suede_vmFfijhBzL3,7116703,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_RR_Moc_in_Navy_Suede_vmFfijhBzL3.zip
Shoe,train,Azure_Snake_Tieks_Leather_Snake_Print_Ballet_Flats,7480383,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Azure_Snake_Tieks_Leather_Snake_Print_Ballet_Flats.zip
Shoe,train,Womens_Bluefish_2Eye_Boat_Shoe_in_Linen_Oat_IbrSyJdpT3h,7044779,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Womens_Bluefish_2Eye_Boat_Shoe_in_Linen_Oat_IbrSyJdpT3h.zip
Shoe,train,D_ROSE_ENGLEWOOD_II,7023234,https://fuel.gazebosim.org/1.0/GoogleResearch/models/D_ROSE_ENGLEWOOD_II.zip
Shoe,train,Reebok_ZIGSTORM,4237530,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Reebok_ZIGSTORM.zip
Shoe,train,Womens_Sequin_Bahama_in_White_Sequin_V9K1hf24Oxe,7176694,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Womens_Sequin_Bahama_in_White_Sequin_V9K1hf24Oxe.zip
Shoe,train,Mens_Billfish_Slip_On_in_Coffee_nK6AJJAHOae,7185575,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_Billfish_Slip_On_in_Coffee_nK6AJJAHOae.zip
Shoe,train,REEF_BRAIDED_CUSHION,5321750,https://fuel.gazebosim.org/1.0/GoogleResearch/models/REEF_BRAIDED_CUSHION.zip
Shoe,train,ASICS_GELResolution_5_Flash_YellowBlackSilver,7516878,https://fuel.gazebosim.org/1.0/GoogleResearch/models/ASICS_GELResolution_5_Flash_YellowBlackSilver.zip
Shoe,train,Timberland_Mens_Earthkeepers_Stormbuck_Chukka,5459168,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Timberland_Mens_Earthkeepers_Stormbuck_Chukka.zip
Shoe,train,Reebok_ULTIMATIC_2V,7812264,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Reebok_ULTIMATIC_2V.zip
Shoe,train,F5_TRX_FG,5102735,https://fuel.gazebosim.org/1.0/GoogleResearch/models/F5_TRX_FG.zip
Shoe,train,PureCadence_2_Color_HiRskRedNghtlfeSlvrBlckWht_Size_70,8420153,https://fuel.gazebosim.org/1.0/GoogleResearch/models/PureCadence_2_Color_HiRskRedNghtlfeSlvrBlckWht_Size_70.zip
Shoe,train,Timberland_Mens_Earthkeepers_Newmarket_6Inch_Cupsole_Boot,7079553,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Timberland_Mens_Earthkeepers_Newmarket_6Inch_Cupsole_Boot.zip
Shoe,train,Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_RpT4GvUXRRP,5670678,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_RpT4GvUXRRP.zip
Shoe,train,ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange,7975207,https://fuel.gazebosim.org/1.0/GoogleResearch/models/ASICS_GELBlur33_20_GS_BlackWhiteSafety_Orange.zip
Shoe,train,Tieks_Ballet_Flats_Electric_Snake,8000116,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Tieks_Ballet_Flats_Electric_Snake.zip
Shoe,train,Reebok_REALFLEX_SELECT,8160923,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Reebok_REALFLEX_SELECT.zip
Shoe,train,Reebok_SH_COURT_MID_II,5500951,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Reebok_SH_COURT_MID_II.zip
Shoe,train,Womens_Sequin_Bahama_in_White_Sequin_yGVsSA4tOwJ,4910026,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Womens_Sequin_Bahama_in_White_Sequin_yGVsSA4tOwJ.zip
Shoe,train,Reebok_CL_DIBELLO_II,5476235,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Reebok_CL_DIBELLO_II.zip
Shoe,train,PHEEHAN_RUN,7967876,https://fuel.gazebosim.org/1.0/GoogleResearch/models/PHEEHAN_RUN.zip
Shoe,train,Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_K9e8FoV73uZ,3869207,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_Mako_Canoe_Moc_2Eye_Boat_Shoe_in_Coffee_K9e8FoV73uZ.zip
Shoe,train,Mens_Largo_Slip_On_in_Taupe_gooyS417q4R,8943879,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_Largo_Slip_On_in_Taupe_gooyS417q4R.zip
Shoe,test,Mens_Tremont_Kiltie_Tassel_Loafer_in_Black_Amaretto,7100322,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_Tremont_Kiltie_Tassel_Loafer_in_Black_Amaretto.zip
Shoe,test,Great_Jones_Wingtip_kAqSg6EgG0I,7282245,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Great_Jones_Wingtip_kAqSg6EgG0I.zip
Shoe,test,Timberland_Mens_Classic_2Eye_Boat_Shoe,6163509,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Timberland_Mens_Classic_2Eye_Boat_Shoe.zip
Shoe,test,Chelsea_lo_fl_rdheel_zAQrnhlEfw8,4963495,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Chelsea_lo_fl_rdheel_zAQrnhlEfw8.zip
Shoe,test,UGG_Classic_Tall_Womens_Boots_Grey_7,6599982,https://fuel.gazebosim.org/1.0/GoogleResearch/models/UGG_Classic_Tall_Womens_Boots_Grey_7.zip
Shoe,test,DRAGON_W,5154705,https://fuel.gazebosim.org/1.0/GoogleResearch/models/DRAGON_W.zip
Shoe,test,Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_NHHQddDLQys,6722193,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_NHHQddDLQys.zip
Shoe,test,TROCHILUS_BOOST,8638870,https://fuel.gazebosim.org/1.0/GoogleResearch/models/TROCHILUS_BOOST.zip
Bottles and Cans and Cups,train,Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g,10086559,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Don_Franciscos_Gourmet_Coffee_Medium_Decaf_100_Colombian_12_oz_340_g.zip
Bottles and Cans and Cups,train,Weston_No_33_Signature_Sausage_Tonic_12_fl_oz,7502539,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Weston_No_33_Signature_Sausage_Tonic_12_fl_oz.zip
Bottles and Cans and Cups,train,IsoRich_Soy,6773173,https://fuel.gazebosim.org/1.0/GoogleResearch/models/IsoRich_Soy.zip
Bottles and Cans and Cups,train,Organic_Whey_Protein_Vanilla,7282830,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Organic_Whey_Protein_Vanilla.zip
Bottles and Cans and Cups,train,Twinlab_Premium_Creatine_Fuel_Powder,10205554,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Twinlab_Premium_Creatine_Fuel_Powder.zip
Bottles and Cans and Cups,train,Borage_GLA240Gamma_Tocopherol,6316391,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Borage_GLA240Gamma_Tocopherol.zip
Bottles and Cans and Cups,train,Inositol,6662869,https://fuel.gazebosim.org/1.0/GoogleResearch/models/Inositol.zip
Bottles and Cans and Cups,train,DIM_CDG,5874264,https://fuel.gazebosim.org/1.0/GoogleResearch/models/DIM_CDG.zip
